username,tweet
faridahfaiz,standing solidarity with the movement today when injustice becomes law resistance becomes duty 
fauzanfthllh,come guysss tidak goyang tak pernah goyang 
animefolyf,what the criteria malaysia google has few answers raging question but not satisfying there age limit education that she must achieve before being appointed the agong really need know this 
nooraminahmad,kita bukan kerana kita kuat tapi kerana kita sedar elemen sedar dalam masyarakat itulah mana mana dalam sejarah menjadi pendorong kemerdekaan mereka tidak selalu menang bahkan mungkin terbuang kerana bukan menang jadi persoalan tapi maruah diri jadi taruhan 
annieveeee,last detected hashtag trending page what’ mind 
zamhariz18,malaysia minorities ethnic religion sexual orientation long suffered under conservative majority new opportunity when everyone unites against injustice all deserve happiness let steadfast ensure 
aidilsfwn,scraped tweets from the reply section tweet and generated word cloud not surprised penat the main theme 
corsaeldiablo,arent not pkp the one yang sepatutnya total lockdown macam pastu dia bole pulak kasi kilang bukak pastu tah celah mana tetiba pkpd pkpp pkp apa nampak gagal kat situ 
wafiealaziz,hancurkan kebuluran pencabulan hak asasi manusia hancurkan ketidakadilan jurang miskin kaya yang semakin mendadak hancurkan kezaliman salah guna kuasa pemerintah dan undang undang 
annieveeee,hilang from trending guess kita kena tumpang hashtag kot hehehehehehehehehe 
berttyih,fight survive fight heard fight have better country fight have better governance fight live another day
raxnsy,rasa dianiaya kerajaan tak pernah ambil kisah tentang rakyat untuk selamatkan masa depan saya sendiri kita perlukan pemimpin yang bijak muda bertenaga dan tak menipu rakyat 
mirulha90,sorry sounds ridiculous 
shrhanum_,longer trending huh 
wafiealaziz,yang kamu sepatutnya kena takut adalah politikus fasis aparat bangsat penyembelih rakyat yang zalim bukannya gerakan kuasa rakyat 
raxnsy,saya  its time change the corrupted government into new younger stronger intelligent candidate 
serrafearless,muhyiddin needs step down asap only then there will glimpse hope for malaysian 
wafiealaziz,apa kamu takut sangat dengan anti fasis tetap lawan 
zamhariz18,minoriti malaysia sama ada kaum agama atau orientasi seksual sudah lama derita ditindas majoriti konservatif buka peluang baharu pabila rakyat bersama kezaliman moga istiqamah perjuangkan kita semua berhak bahagia 
wafiealaziz,                  
nafsiahmahmud,when injustice becomes law resistance becomes duty fight for our rights because they never fight for 
sparkfinders2,apa salahnya… dia kan dapat ‘tanah’ baru… bukanke dia nak bercucuk tanam jugak 
calistalieya,kenapa hilang dari trending 
annieveeee,fun fact the longest trend twitter   
thekampungirl,23am 2021 masih trending dan bukti betapa rakyat dah menyampah dgn semua 
shiafiku,kau dengan kerajaan kenapa ketua opposition tak boleh nak angkat bendera did nothing hijacked 
calistalieya,sape kata kita kena turun kat jalan please dalam kereta guys kalau korang nak buat pun tak perlu trun jalan kita jgn jadi bebal macam menteri kesian frontliner kita semua burnout dah our aim untuk turunkan kes penat day lockdown bertahun 
blingb1ink,apa jadi dgn malaysia haih risau tgok kedai bukak mcm mana dorng hidup dgn duit tkde kita pulak pkp bagai rak tpi kes turun turun  
wafiealaziz,     
hazrinhafetz,steady bang keep respek abg lawan tanpa mengharap apa2 dari parti itu
annieveeee,sorry terlewat minit pasal mkn jap kalo hit 200k time hehehehehehe   
salemthecats,momentum kebencian dah ada cuma nak tunggu ade satu watak yang bawak panji bendera hitam dan ber arak keliling kota kuala lumpur 
lann_aziz,boleh kalau semua mau 
hazwanhfiz,jika kritikan dilarang tanpa alasan maka hanya ada satu cara solidariti bersama  
sparkfinders2,hello pulis sini ada orang berkumpul… 
kisheyem,wow you care much arahan untuk buka parlimen serta boleh harap maklum 
sparkfinders2,mana dia kpn yang sembang kata ‘ one above the law ’ sembang kari 
sparkfinders2,kdn ‘budak’ kita daa… 
aqilizham288,hahahahhaa
annieveeee,’ here along with everybody else ’ sunday and ’ new day sape tito tito dulu nunyte sleep tight   
yanameera,mohon izin guna 
lionfromtheeast,malaysia may the force with you malaysia 
ridhwanshahz,luahan rakyat sampai terpaksa buat thread 
colinjoshuaa,your bold voice now determines the future  
yanameera,trending 208k tweets kita biarkan ianya trending beberapa hari lagi  
princejoe5678,patut lah rakyat kena kibar bendera putih ️ bendera hitam tengah susah nak dapatkan bantuan pun susah jugak… 
mcqisti,kerajaan literally ing opportunity for education transcript smue xkluar sbb office tutup missed few college application deadlines sbb xde official transcript 
ridhwanshahz,tak tahan dengan pkpd yang dilaksanakan selangor wal hal kebanyakan penduduk selangor hanya stay home tetapi masih lagi kes meningkat dan tidak menurun selama sebulan malah kluster tempat kerja dan kebanyakannya industri masih lagi dibuka 
jr_crunk7,tetap kroni politikus sebgini perlu dihapuskan cukuplah menganiayakan negara kita yang tercinta warga muda jangan buta dengan propaganda perkauman yang kroni kroni selalu memetik bila sampai pru nanti jangan lupa 
annieveeee,like the subtleness the houses deco look closer  gorgeous   
yul_z,contribution may blessed and protected 
keluhanetizen,muhyiddin mahiaddin mahyuddin whatever your name just get out and get lost 
apapbinzamri,rakyat masih menderita politikus tidak pernah peduli 
megatfirdauz,jahanam why have keep punishing those need again again mps belittling the bendera putih movement and won’ even help those who wave the flag saying ’ propaganda and all apa dosa diorang 
hazrinhafetz,pastu ckp taksub pemimpin taksub parti diri sendiri takde sumbangan apa2 setakat dua ibu jari sahaja
lionfromtheeast,home country this fight against the tyrannical and undemocratic government who robbed our rights ✊ 
ryzalazwir,bila segelintir pemimpin gila kuasa dan berkepentingan pemimpin sekarang dan juga sebelumnya tiada beza ada yang poyo amik kisah tapi hanya boneka ada yang perihatin tapi hanya sandiwara moga tuhan laknat semua yang menindas 
ajamiha,kalau ditegur guruh berdentum langit tanda ribut bakal runtuh sebentar lagi haruskah aku berdiam melihat jemuran hanya mengharap kain berlipat sendiri nanti basah tanpa seurat benang telanjang hanya tinggal seorang ajami 04072021
annieveeee,gang lesgo   
asghaff,rakyat pacak tiang bendera dia pacak tiang kote 
annieveeee,art sings  thanks ☺️  
siraxchurros,kibar sini pun rasa boleh dah 
hazrinhafetz,the original setakat aku kau kita2 sembang dalam twitter the comfort our bed xyah ckp opportunis org keluar masuk penjara dari zaman universiti lagi kita mkn minum kadang2 mak bagi duit toksah sembang setakat dlm twitter
asilhome,itu setiakawan itu kita 
reshanast, time guys 
zarulzimm,lupa pulak dekat username boleh pacak 
fruityfrzz,main lagi politik sila2 
ly_tripleh,dekat² setahun lebih tak dengar rapatkan saf makin hari perangai macam yahudi tak sangka ayah pin rupanya muhyiddin  cepat² lah 
syfhz75,gather kat parlimen tak boleh gather kat rumah boleh pulak gila punya failed kerajaan skrg siap polis cover line lagi 
qissywoopsy,dah lah aku sambung belajar takda ambik apa apa pinjaman semua fully bapak aku bayar pastu yuran kolej takda kurang macam cilaka duit buku lagi bagai bodoh  done luahkan
ilyasyafiq,user 206000 3500000 100 active 206000 762000 100 based 2014 data from google itu benar 
jeffreychiang66,this plan for covid need way better 
farahnatt,kat ramai otak sempit and kaitkan dekat politik  
mas_merah65,untuk malaysia tanah tumpah darahku 
suelaosman,ayuhhhh 
qissywoopsy,aku  walaupun aku benci bapak aku aku tahu dia tengah susah gaji tak jalan sekarang bukan saja saja nak maki bangsat bangsat bapak aku ada aku dengan adik adik aku bini dia nak kena tanggung lagi macam macam moklu sapa ritu cakap yang nak sebok berjimba
rubymas2,rakyat masih menderita politikus masih tidak peduli 
weelz72614499,hope are getting somewhere goodnight rakyat should not end here 
1stnewsng,president urges lawmakers ensure implementation 
hopefulmsian,demi kita kibar demi negara kita 
kucingsiber,sementara nak tunggu tahukah anda bahawa penduduk juga sudah muak dengan lockdown tak berpenghujung dan melakukan tunjuk perasaan bezanya mereka sudah divaksin malaysia 
nohirfanfit3,kita lawan guys dah lama sangat basah kepala kene kencing 
hamba_syukur,kita semua ada syaitan yang untuk dilawan 
samshamsulazhar,hampir setiap minggu aku terima berita kematian keramat angkara covid 
imranraszali,the demands the online black flag protest happening 03jul2021 3pm the protest has three demands namely for prime minister resign immediately for parliament convene immediately and for the state emergency end 
annieveeee,the power anger arggghhhhhhhhh   
_eksponen,angkuh bangang 
adhamiroo,demi masa depan dan pendidikan anak anak demi negara yang bebas korupsi dan nepotisme demi keadilan kepada seluruh rakyat demi perpaduan kaum yang lebih utuh sehingga tidak lagi boleh dijadikn modal politik demi malaysia  kami 
binhonglee,wait till they find out about 
amirashrafjalal,paling risau suicidal case increasing teruk that can crucial indicator how that need through 
radin_suwardi,tetap selagi kita mesti 
weelz72614499,keep trending 
khairul_hizwan,hmm 
jaykayenn,our legal cultural and institutional framework allowed this nightmare happen there nothing stopping the next 000 governments from doing the same worse 
amalifaa,raise pahang flag are they still going charge under sedition act black and white they can deny our rights 
weelz72614499,this  register vote you haven’ 
mfmjzf,wah serba hitam kita 
arfzdnn,nah artwork 
weelz72614499,keeping trending please don’ mind the rts 
afiqazni,pencetus utk dtg dari perbuatan kamu sendiri taksub dgn berkeras utk tun meneruskan pentadbiran sekaligus mengkhianati persetujuan dimaterai oleh pkr dap amanah ppbm gerakan azmin zuraida semakin berani dan tercetusnya langkah sheraton 
mommymiaica,tiba masanya kami berdiri berdiri mengejutkan kalian dari tidur yang terlalu selesa dari rakyat kalian datang dari rakyat juga kalian akan pergi bermimpilah dengan bunga kerana duri akan muncul bila jaga 
madriabdullah,just the and evaporated from the trending list sigh 
irfankassim0303,why lawan when have the government showed that they are working ever since took over when have they ever told the truth the rakyat when this bullshit going end answer never have more malaysian jokers pls the government
ijatbobbie,kan nak lawan tapi tak payah join geng politaik dah jadi bodoh bila join puak2 masa jadi kerajaan pun gagal jugak 
annieveeee,that challenge hehehehehehehehehehehehehehehehehehehehehehehe 
boihachiko,“kalau kenal apa kau mahu pasti tidak haru kalau tahu apa kami mahu pasti tidak biru sekarang semua berganding bahu ingin menjatuhkan kamu kamu sedar atau kamu batu mungkin skrg kamu ketawa biar kami berduka esok kamu berduka kami ketawa” 
