username,tweet
safsetan,when you dont have black flag but you have black kain and rake its the thought that counts  
syaznotsyaza,this government another level ujian daripada tuhannnn 
sitiwanee_,mocha ready  
imaaaaaaaaannn,gaiss 
effanordin_,syair perang nakal raw version via 
iamjoelee,nakama 
ligarakyatlrd,may the force with 
doubleja,said what said 
ictweeets,freedom’ just another word for nothing left lose 
hilalazmi,harini umum tak boleh makan nasi… esok peraturannya kena makan sayoq saja… lusa semua kena makan cucoq… padahal orang lapaq nasik dok bagi peraturan2 yang overule peraturan lain pastu satu dunia konpius camna hang nak 
fathuuuaishan,jogging satgi aku nak pakai full black dari topi sampai kasut haaa 
asyisamess,kalau kita kita lawan sampai kita rakyat menang
mohdikramghafar,depan gantung belakang pun gantung 
scbarai,komunikasi yang baik tidak akan menghasilkan kontraduksi serius arah turut mudah melawan pula adalah hasil dari komunikasi tidak baik arah turut yang lebih kepada dipijak jerut yang memaksa untuk bangun jadi bangunlah  
inuyafnitaf,cuz baju hitam are too mainstream kita kibar kucing hitam 
amarhmf,for the nation for our future for our legacy 
riseofkentucky,make this get more than 100k
syahredzan,boleh cecah 100k 
mummifiedlilac,can afford buy black flag but can show that incredibly disappointed tge kerajaan social platforms 
khadeejaencik,yeahhhhhhh  
kajimsharibi,hadir 
atomicuuuu,with these all over the timeline one particular song comes mind you hear the people sing 
nakhoda_ragam19,road 100k malaysians kita boleh lakukannya  
ammaraffandi96,kalau retweet dah sampai 80k semua turun jalan dah boleh settle masalah sial 
shkrshdn1,got soul but not soldier  those that sick enough with the government nowadays stand for the lower marhaen voices you got respect rise  credit goes poster owners  
mhaikalmf,kibarkan bendera hitam anda let them know who’ really charge here  
hxkxmxhmxd,langsir bilik aku memang dari awal tahun dah bertema lawan kerajaan lawan bantuan pls lawan  
syeraadzmi,dia macam tiber tetap 
partneriqbal,kita buka parlimen buka semula ekonomi negara 
mash_who,can wait nak tengok buku sejarah anak anak nnti pasal and when dorang tanya kenapa jadi macam bolehlah cerita apa yang kerajaan buat pada rakyat 
shutthefkup13,other sister 
hazrieayup,lup chew ☹ saya anggap ini sbgi simbolik kpd perpaduan kita dlm sekaligus menyedarkan kita bahawa perpaduan adalah kunci bagi menentang kezaliman karya beliau kalau dihayati dgn sepenuhnya insya allah dapat menjadi pemangkin kpd perpaduan rakyat fatihah 
sarfabian,counting 100k now 88k 51pm 
fadilahwirae,nak nangis pulak government sucks 
azharramli_,tak mampu buat semua jangan tinggalkan semua 
apalu_mau, resign and step down with your other illegitimate cabinets for your incompetence 
cyraaeiou_,the worst government ever dulu tahu kibar bendera jalur gemilang now have fly the black flag because the incompetent leaders are suffering are angry are going fight until the end 
mdmaman_,demi rakyat kita bangkit 
ahmadyusriyusof,bendera hitam takda mask hitam pun boleh 
badidea98,malaysians can very optimistic and patient but ’ sick and tired 
loldannyhere,use your platform spread the word 
hulkfeez,jubah hitam pun jadi lah 
abdyumm,rakyat meminta hak mereka dianggap penjenayah rakyat dikutuk dan diserang saudara masa rakyat bangkit lawan mereka  
baikragu,black coffee 
nimilan6,good job 
aymanpsycho,dalam kita bangkit melawan rejim yang zalim jangan lupa perjuangan pembebasan akan kekal gagal selagi kita mengangkat golongan bangsawan elitis dan borjuasi sebagai wakil suara rakyat selagi kita menjulang demokrasi borjuasi selagi itu kita akan terus dibangsatkan  
dumplingdena,sedang pakai tudung hitam walaupun tidak mengibar 
syahredzan,sebab aku akan dan qrt 
domesticgod8,just want say minorities msia been living thru systematic racism oppression the last 60yrs what don’ kill makes stronger 
danialasyrafs,hari aku membuat keputusan beraktivisme untuk aku sedar ada setengah pihak yang tak gemar dengan perbuatan aku ini sejak aku sekolah menengah lagi namun demikian aku tetap akan  
mandeepkarpall, bukan sekadar warna  adalah simbol kita semua bersama dalam rakyat bersolidariti bersama rakyat untuk melawan kerajaan gagal ini kita bersama selamatkan 
normiswary,sedang tunggu parlimen buka kemudian kita  
novinthen,need more 
idayumumtaz,while waiting for response from any please feel free reply this tweet with your photo support the rakyat movement you are iium student off campus semoga mahasiswa kita terus bersama masyarakat ❤️
dinnnnyminimore,got this from friend 
weieyka,bantu mak buyung meniaga gaiss masukkkk shopee live santai clearkan preloved  size banyak sahaja from rm2 rm10  watch shyrasahar44 live now 
helosabby,kain selimut tebaq luaih luaih 
theshadowww_, tuntutan kami perdana menteri mahiaddin letak jawatan parlimen bersidang tamatkan perisytiharan darurat 
aameenzuber,resign  
itsafiqafandi,ayuh kita sampai dia meninggal 
alia_syaqeera,kalau dlu mmg tknk langsung masuk politik kalini kita 
nakhoda_ragam19,saya guna kain pelikat gajah duduk 
izzadooo,kita bro 
danielhzre,yeah would for now rest peace and ’ stand with you  
nimilan6,function influencer macam yang kita mahukan mantap 
ninaal1ah,our thoughts feelings are valid this out harm’ way manifest our frustration towards them one ask you guling street damaged done pun you think this useless stfu most importantly the pressure the gov are now circulating 
arifeddy12,standing outside the house because don’ have any black flag 
nisaaidilakbar,the demands resignation prime minister muhyiddin the convening parliament the ending the emergency proclamation  
daryideanna,kalau kau rasa bising bagus memang itulah tujuannya 
cikgurahayu,bangga dengan revolusi tudung hitam hari 
amrhzzty,pass angry dekat korang dah tak larat nak marah 
amaan5,shouldn this way 
harumonia_,rindu nak buat gig rindu nak tengok gig rindu kawan2 yang pergi gig 
shyaam28384236,jom 
tajlazre,takde bendera hitam baju hitam gambar hitam putih ada lah  
nomannurs,the only thing could put infront our kedai tuntutan mahiaddin letak jawatan parlimen dibuka segera tamat darurat 
tiadaguru,another iteration prepared one 
darkzagaming,kempen dan bendera hitam dah dijalankan siapa harapan korang untuk ganti tempat yang sekarang 
ybtokmet,bendera hitam simbol kemarahan rakyat kepada kerajaan teruskan bersolidariti terima kasih rakyat kalau ada yang memerlukan bantuan sekitar anak bukit dan kubang pasu saya ️ 
naimnazir,aku kau kita malaysia sedang sakit dan tenat kita semua lawan 
blacktar_,wearing all black today cuz hate the gov 
anissanosan,hujan ”shawl” sidai bawah bumbung 
cik_kk,expectation reality nya menang trending tetap kelantan hahahahaha adeh 
vin_der_pal,the end the day all have one common enemy oppression 
growingupgrumpy, for riri  for country 
ainawafiabkadir,tuhanku wajahmu membayang kota terbakar firmanmu terguris atas ribuan kuburan dangkal anak menangis kehilangan bapa tanah sepi kehilangan lelakinya bukannya benih disebar bumi subur ini tapi bangkai dan wajah mati sia sia rendra 
suhara862,⬅️ 
imrannordin,bersama 
injangnation,semoga dimurahkan rezeki dan diberi perlindungan serta keselamatan ketika mencari rezeki 
akuguard,yang penting kita 
vinodveloo,even mother nature with today 
forabettermy,when the populist believes that better than really have wonder what goes the brains malaysians 
acaprahman92,lawan selagi ada maruah diri 
syahmi26,remember when was young boy wanted the saviour the broken the beaten and the damned 
thearamhd,all black ingat tadi 
gloriaisdeadd,muhyiddin yassin mahiaddin yasin letak jawatan  
nicknameesther,glad didn show the face this person muhyiddin will never resign needs ousted parliment arrested the police sacked the king definitely has done enough damage the people country hope the king sees all the black flags sacks him 
hafidz_12,bukak twitter rasa marah rasa marah bukak twitter 
tvya_97,sumpah kalau ada rally macam bersih pecah rekod bilangan orang kumpul mampui kleptokrat kleptokrat semua kalau rakyat semua gabung tangan entah apa nasib diorang 
kiranraj2305,yesssssss btw support our msian initiative against msian government uncle 
shafwanshukor,bapak ikat drip dekat conduit electric aku tahu yang cat oren adalah penebat yang baik tapi still bahaya kalau ada leakage abende yang gomen pikir sekarang rakyat tengah nazak sistem kesihatan dah lumpuh 
najmiluthz,sebab takde bendera kita guna emoji 
danishfirhan04,better pic  
goodluckaydam,alang alang hujan jom doakan negara kita arah lebih baik 
mudaxpetaling,adalah kerajaan yang gagal mentadbir membantu dan mengeluarkan negara dari kemelut belum pernah timeline penuh dengan kemarahan rakyat dengan kerajaan seperti ini kalau bukan disebabkan pkp rakyat dah jalanan
haostheticc,you are bitter about bendera hitam because you are fated born malaysia you should then dictate god determine where you want born and die mentality very low intellect also very low sibuk nak jaga hal bendera hitam 
yonlikethem,hari hari esok adalah milik kita 
fakhrilzaidi,pkp beratus ratus hari kes tetap mencanak tinggi ada pula pak menteri yang hari hari tunjuk bodoh tak bertepi maka kita sampai ✊ 
hazeeq12345,opss lupaa 
khalifazman,letak jawatan letak jawatan letak jawatan letak jawatan letak jawatan 
diannnatasha,for ot4   
ineffableiris,july 3rd 00pm demands resignation prime minister mahiaddin the convening parliament the ending the emergency proclamation 
wanmhdamir_,fed dengan pemerintahan macam 
sameerkhanlgk,has tweets 
shazacaje,putrajaya bahaya kalau aku tiba2 gantung bendera hitam kang tak pasal2 kena angkut sbb tempat kerajaan 
khalifazman,letak jawatan 
thinnythins,today’ historic day they’ better include this sekolah menengah sejarah books when ’ time update the syllabus more painting pretty pictures the government more cover ups 
redrun_,bendera hitam takdak batang mop basah sangkut baju hitam jadi lah bangsa kita bangsa melawan  
afndy73,kerajaan berhutang berbillion tapi pembangunan apa pun tak nmpk nak kata utk tangani covid keadaan semakin teruk hospital2x elaun penjawat awam dipotong gaji pekerja pembersihan pun kena potong smp bawah giler gaji minimum apa kejadah 
aaron16denison,turut bersolidariti dengan kita adalah rider yang sedang mencari rezeki jaga diri dan terus 
yepbooba,hamzah zainuddin anak babi 
haiqalafiq__,saman dulu timbalan speaker yang berkumpul makan durian tuh baru boleh sembang sial punya kerajaan dengan bendera pun takut 
melgohcna,from white flag black flag after campaign heats malaysia among netizens calling for resignation muhyiddin lifting emergency rule and parliament convene asap also trending more than 000 mentions within hours 
acapazizan,terus kan bang tetap 
adimxns,dengn jiwa sampai tumbang 
dinguswoes,you are scared make changes and scare overthrown the injustice and incompetence those who charge then you have chosen the side oppressors 
aryyaff,hari hari asyik nak marah bila tengok perangai kerajaan and ada sesetengah pihak hilang sabar kalau hari hari macam  
sahrinmission,kasi kibar  
theshadowww_,teruskan hashtag biar mereka tau rakyat dah hilang sabar mereka sdg takut teruskan 
luv_shaa,kucing pun mka garang ready nak 
tijnarinif,country deserves better the rakyat deserves better fight for what deserve 
yepbooba,bukak parlimen jangan jadi bacul kerajaan poen 
e_a_ismyname,solitary with keep your spirits high and keep fighting for the future this country  
annoooyinx,pakai hitam kire tacing ngan boifren 
cheeseundrcover,kita sampai pekak dengar 
mohd_kns,rip politik malaysia 
mohdazmen,isteri tiba tiba buatkan 
mardiahjane,bukan woke tapi penat 
izzat_xilli,️‍ 
redditmalaysia,black flag designed for the black flag protest inspired hong kong protest flags 
chinepaiyenoffl,see all the ppl who stay quiet times when ppl use their platform speak against injustice death suffering our country referring peers the content creators influencers entertainment space when injustice becomes law resistance become duty 
ammrasyraaf,well ive always wear black anyway stop discriminating locals and foreigners for political purpose 
lordstomper,salam perlawanam  sehat selalu sodaraku 
sofeahjoned,ini bukan palestin ini malaysia yaa tanah air kita  
lumieredieu,tak bendera kertas hitam pun jadi lah 
hayierul,lawan tetap 
bellanattty,all the best malaysians ’ get thru this you won’ ruin malaysia any longer you have failed fear the people 
mhdafq,lupa nak snap outfit all black aku tadi boleh ikut trend semasa 
anxpz_,aku harap subjek sejarah akan datang letak topik bendera putih dengan bendera hitam biar dorang tau macam mana kehidupan sekarang biar dorang tau macam mana pemikiran ahli politik time sekarang 
nazhanakid,tudung hitam akak aku but still 
nicknameesther,good replacement for black flag cheap anyone suffering under this government can put one too 
ketua_darjat,nah kau 
sufiazfar99,apa beza kerajaan dengan saya saya ada telur kerajaan takde 
machaling_,takde bendera hitam tak mampu beli tangan pun hitam apa lagi  
sundalmcwhore, bangkit  tentang  lawan  bangkitlah kaum tertindas tidak akan kita hilang satu apapun kecuali rantai besi yang membelenggu 
miggychino,all these words they not listen they they please with accountability repercussion fight back against this imbecilic hapless government  
nazanto,guna apa yang ada hatta ianya tripod sekalipun 
alinaise,karya ini pula dituju kepada semua warga annette lemieux black mass 1991 
propagandaoren,“the penalty that good men pay for not being interested politics governed men worse than themselves ” 
joshychong,terjemahan fikiran berliku pagi 
ccourtneycobain,terlalu banyak permainan tetapi bukan rakyat yang harus dipermainkan 
lagacawan,kalau ada beritahu kita pasang kat kereta motor sampai muhyiddin letak jawatan 
tharunpillai,demi malaysia 
hepibird,sila letak jawatan jika kau bermaruah sebagai seorang “pemimpin” rakyat dah benci dengan kau btw mana haziq 
me_siam,need your support just the other side the globe 
adinangah,jangan nak jaga periuk nasi sendiri 
xpectopatronum_,while you guys roam freely rakyats suffer shame you malaysian government 
deanjamal785,for malaysia 
sayapramarama,shawl pun shawl laa 
furrarie,flag might pathetic but the state country  
baihaqi1989,kredit gambar 
sharkawiahmad,elok gambar kempen pun 
kashiffulsharif,jangan tak lawan 
demokrat_my,sudah semestinya 
k1m1eee,tudung bawal mak aku jadi mangsa nasib dia bagi izin hshshs 
izzatdalphia,wearing ⬛️ solidarity with 
mair_umai,kalau kibar dekat rumah kena saman kita kibar dekat display name  
kkrish_kumar22,much love and power from  everyone that fighting the back home  
belialrising,revolusi berlaku dari jalan raya kempen kibar bendera hitam hanya perang saikoloji saja peralihan kuasa takan berlaku setakat kibar bendera hitam kena turun jalan raya dan 
afiezatulakhma,this fight for those who are longer with for those who are helpless for those who are depressed when incompetence becomes the law resistance becomes duty  
___ndrea,today seems like great day watch for vendetta 
forsyo,kedah kena sampai dia terduduk 
izzathazlimi_,“’ not pleasure this kind shit served the government”  
izzaatfauuzan,rembat kakak punya tudung 
adh4mafiq_,one more time are not scared  
khairulhafiz_97,minta maaf aku ckp aku amat mrh dgn kerajaan skarang tidak pandai urus tadbir negara pentingkan diri sendiri serta berat sebelah now this time 
jestinrajs,maaf tak dapat kibar bendera hitam sebab sibuk sikit menyampaikan sumbangan pada 00ptg tadi baju hitam pun bolehlah sebagai tanda sokongan 
aaron16denison,inilah semangat rakyat malaysia 
sapetesedih,bak mai 
saidinrose1,terus masuk firdaus 
mohd_kns,gantung shja xckup kne tukar skali kasik kecoh satu malaysia jgn sekian propa murah dari saya
zafirahzukipli,saya dan kibar 
niearuz,kita guna ballon hitam jelah 
nuhilistic,️
ernestmhs,absolutely excuses for the egregious mishandling covid malaysia are tired today demand the resignation muhyiddin yassin the reconvening the parliament the ending the emergency order 
jariski,kebetulan telekung tengah jemur   
amirulhakim08,hoist the colors 
thechekmad,accurate symbolism ✊ 
kellyjunghye,what are they gonna arrest the rakyat malaysia you think people will shut they try silence the rakyat after this 
muzamminmuzlan,sila letak jawatan 
syikinharrose99,cantiknya paper bag mellow crunch dah kali repeat   
solehuddeenn,hari masuk shift malam outfit blacked out kalau polis tanya dkt aku jawab 
faruqmcgrath,gue kempen sejak minggu lepas sebenarnya benci takyah cakap memang dah lama 
ciksitihani,family and friends been through lot during this pandemics don care anymore the better malaysia 
hfzirwn19, even langit pun gelap 
mash_who, student2 ipt jangan lupa fight for right  
izan_janjira,malaysia sekarang sad but true 
hepibird,ramai malaysia belakang dsai ayuh kita tendang keluar pengkhianat negara ini dari pemerintahan negara 
1mannnn,tuntutan muhyiddin letak jawatan parlimen dibuka segera tamat darurat 
lahnapi,kalau nak mencari menteri pertama elok kedua pandai mohd daud 
papaqqs,kalau ada kebakaran mcmana 
imaaanginasi,bersama kopi pak ajis 
iamwildflower_x,“kebenaran sedang dipenjarakan penjahat berkeliaran dan sembunyi balik ketek kekuasaan” 
chezahidguevara,sebenarnya suka turun jalan jumpa kawan kawan dalam bab tapi tak boleh dalam situasi sekarang apa apa cara nak tunjuk lawan sekarang kita sokong jadi kita kibar 
bev_tj,jangan takut terus bersuara ✊ 
_akim94,nak start dari awal balik 
rhealoveskeyaki,way too tired anything all but enough enough 
ashikinfazi,boooooo takyah siasat 
thaqeefsidek,light  
redhxkhxlis,aku sokong ayat 
zayne_rodz,rising the colour  
zikrulsafwan_16,kalau tidak kerana pandemik rakyat sudah turun jalanan 
sowhateverlah,hati2 bro semoga dimurahkan rezeki 
ycodyyyy,antara usaha kecil menyahut solidariti bersama cukuplah tahun yang memeritkan your time step down 
ameeraaklif,youre not pissed the government then youre enabler fight for our right fight for the our nation solidarity 
asyraf_se,mugiwara turut 
farhannajafri,penat dengan kebodohan 
fadilahwirae,kisahnyaaa akuu 
akisendro,baju hitam takpe geng jangan hati yang hitam 
dus_a,ayuh teruskan solidariti kita memprotes kerjaaan mengikut lunas perlembagaan persekutuan perkara kebebasan bersuara dan berekspresi 
dyasnisa,small thing can now from now will hang only black cloth dekat pagar mcm this the only thing can because dad againts this protest 
ariffalyahya77,thinking going and wave front sempudal’ house 
akidhariz,reason this government
nakhoda_ragam19,trending with 80k tweets 
aimnzzan,malaysia  
harisbinali,saya suka dan mahu lebih lagi 
sapph1csundel,why all oomfs love when put pas pfp ksksks korang suka kan aku trolling  pape pun bitch tomorrow will continue ✊✊✊
syizel__,saya bendera hitam takde kucing hitam ade 
iambadrulamin,80k 
mohamizi,july demands • resign • reconvene the parliament • end emergency order malaysians have had enough with government’ incompetencies 
iemanshz,bayangkan hve like this just bcs those selfish politicians unfair 
fatineizzati,because when initiated the white flag identify the needy you politicised you decided that ’ sentiment against the govt today raise the black flag signify that are tired all this 
fkhirah,untuk pemegang takhta ini untuk derhaka yang kalian timpakan pada rakyat 
kykappys,dont blame society deserve better 
cahirisk,tengok hashtag waknat 
medwant,kebetulan hari hari mendobi semua pakaian berwarna hitam digantung belah luar sebagai tanda syazuan 
demokrasitotal,road 100k 
lutfillehadi,incoming 
aidilhaha_,mantap bro 
zac_yrahcaz,the sky tears for malaysia untuk malaysia untuk kita  
twtleovalen,hancur masa hadapan kita semua dengan kerajaan yang huru hara segala plan gathering obw dan iftar tahunan yang dirancang tiap tahun habis terpaksa diberhentikan covid dah satu hal ditambah pula dengan kebodohan mereka diatas haih penat   
darwinmohdarif,sekalung tahniah untuk kedah atas tindakkan beliau yang membuatkan rakyat sedar bertapa bodohnya pas 
natalieridzuan,nice 
taen99oo,tak kesah cari berkesan atau tidak tapi aku dah penat dengan kerajaan yang pentingkan poket kedudukan sendiri drpd kesah pasal kebajikan rakyat  
wawarzmn,dah mcm nak yāhudį pulak jom  
dsharif_,dengan darurat kita boleh halang pilihanraya molek ada dia kerajaan tamatkan darurat suruh jadi macam prn sabah suruh letak jawatan okay lagi 
tieyrafauzie,literally open the and and like semuaaaaaa post yang ada banyak kali kena attack dengan goosebumps tengok post masing masing ✊
ruffnazir,bendera hitam letak kat rumah kalau nak buat pun kalau letak kat kedai gerai nnt lain lak persepsi pelanggan silap2 pelanggan lari 
emirzainz,takde bendera ada buku hitam 
anasshhhh_,varian delta sampai kat melaka varian kebodohan kerajaan sampai satu negara 
ashraffmokhtar,panggillah mereka pulang ayah nak ajar tentang kurang ajar jadi mereka takkan sendiri lagi 
benalford27,well swiftie and don have black flag wearing black support sorry for dragging reputation and uniqlo into this but are definitely never ever getting back together ✌️✌️ don blame  still waiting for redtv though 
neelofaraway,bersama sama 
amuse_gueule,this what sean’ tshirt says the crumbs are from teddy biscuits 
chokinetto,aku manusia lemah tapi tetap 
paqmadsri,ayuhhh 
azrie_esp,let gooooooooo 
neddokhan,semoga sentiasa dihujani rahmat tuhan juga bro  stay safe 
carlyelaj,trending betul bendera hitam ptg 
adilakaman,courtesy 
samruzone,this public service announcement are having riot  
ashsukamakan,lets doing our small part solidarity 
nizamsbr,still trending 
ellfmrzsmn,heart breaks everyday thinking about those who couldn survive the bravery bringing themselves beyond the four walls reach for help all because the massive incompetency shown the unelected crooks full solidarity with  
fikryyusof,ambition makes you look pretty ugly kicking and squealing gucci little piggy 
barleeeeeee,tadi aku tipu kali nie real punya tapi just pakai baju hitam takdek bendera penting 
rajivjaykumar,the time now put end this never ending insanity and madness step down and fuck off 
nicknameesther,you have right decide what flag person wants fly his own home arrest that head the deep state muhyiddin yassin himself for causing anger disturbing the peace the majority malaysians 
kamalsuriaa,hoist the colors  
0wh0,awan pun turut gelap 
frhhzwani,done with this government  
bev_tj,dengan segera 
444proxy,stand for our people solidarity with  had enough your incompetency our people are dying 
azlan_inc,bendera putih untuk merayu bendera hitam untuk melawan bulan kita dikencing dan ditipu sekarang hidup semakin ditekan 
fakhrilzaidi,mood 
syrzainal,help country currently run baroques 
v3n0mv7,cos they don care about malaysian  
f15teen15,anjing pun lagi function dari pundek 
sharafiasraf,love our resistance remember people shouldn afraid their government government should afraid their people fear lets rise  
pyantmusa,saat yang nanti telah tiba 
naizzatin,kibarkan bendera anda kita  
azhammaira,yang husband guna tudung isteri untuk dah minta izin belum tak pasal² angin kuat tiup tudung keluar² tinggal kayu tak pasal malam tidur luar 
ahmdzuhairi,semua bangsa tuhan bagi akal fikiran kalau rasa bodoh tak perlu buat takda kena mengena dngn bangsa bro semua atas kesedaran individu nak protes dengan ada perubahan bro rakyat makin bersatu hati semua bersatu pacak 
syah1we,tak faham aku ade still kesian and ade faith dkt kerajaan lagi dah dah kene pijak bangun orang malaysia buang kejap sikap tolak ansur 
wan_jot96,small effort for the sake better future  
jimbotiram,rata rata tudung bawal lagi banyak dari baju band nampaknya wanita lebih angry power 
muazzzooo,low budget tapi kita tetap  
arsydn,takde bendera hitam hal kita sidai baju hitam 
shafiqxismail,tetap semangat bang 
paresit_xo,aku dapat rasakan kemarahan rakyat semakin memuncak hanya ada satu kata 
sarahbaidarus,yasssss 
hilalazmi,tetap bila hang stress hang cuba bahagiakan diri tapi masih tak dapat… kita kena tetap perasaan 
thechekmad,love the symbolism ✊ 
psperfumemurah,rise rise and rise again until paris become lions ✊✊✊ roarrrrr  
amirulruslam,satu menteri dalam kerajaan aku nampak buat kerja layak terus dihormati iaitu yang selain daripada beliau adalah pembunuh rakyat tak nampak hasil tak nampak batang hidung makan gaji buta jaga periuk nasi sendiri 
nazrinkemp,fight because care about our country our people fight the government who has done grave injustice our country opposing bad government not unpatriotic the most patriotic thing can the moment 
haikkal28,gagal letak jawatan 
aidxn_hx,even mother nature pissed the clouds are dark now and that ain mama nature retaliating idk what wave your kita 
shukrimokhtarr,you and have the courage say our enemies “there price will not pay ” there point beyond which they must not advance 
azzalinaazpah,lawoo sikit 
mohd_kns,want you for  
sy4hmi_,bila tengok situasi sekarang teringat pula ceramah rafizi tahun lepas ada satu pantang larang untuk mana mana kerajaan kekal berkuasa yang telah dilanggar oleh kerajaan hari ini  
dinadamshal,solidarity with  
masturah_ab,tak dapat turun jalan kita protes dengan  
shaarani_,the pandemic has taught that hoping our blind kerajaan only vain but our rakyat heart beautiful and makes happy seeing how many are down help the ones need ❤️ this the malaysia love and the malaysia will fight for  
nurlailarahmt,happy birthday you 
nandaaghazz,yang penting  
senja_fajar_,there are few things more dangerous than mixture power arrogance and incompetence god help 
rrinrrins,made this out frustration the other day list things the rakyat has been forced suffer under the current government rule 
machaofkl,sidai baju tapi hujan lak plak  
tajlazre, thats thats the tweet 
joondaehwan,art 
sreerajie,are united
lechaafich,kebodohan yang melanda malaysia 
ajardemokrasi,ajar demokrasi bersama rakyat tidak ada kompromi kepada penindasan 
izyannss,aku sayang malaysia aku cuma nak terbaik buat negara lets our part 
rafiquedanish_,bukak parlimen tamat darurat dan letak jawatan  
amirxabdhadi,solidariti dengan rider kita hujan atau panas kita 
kushfein_,takda pakai mask hitam pun jadilah janji lawan ✊✊✊ 
syahredzan,bayangkan hari rakyat protes sebab dah tak tahan dengan dan nak semalam rileks ada menteri dok jumpa bincang supaya perdana menteri kekal 
kacangmagik,shawl hitam sebagai pengganti 
husnanazeri,crappy edit because the disappointment unmeasurable for this crappy government 
qil0tt,kopi ais dulu 
jungnis_,cukup cukup lah seksa rakyat kami pun ade limit kesabaran nya kalau takde covid lama kami bakar rumah menteri sekor sekor sial sial sekalian 
zelo55,ada geng woi 
ke3mbueno, 2021 
apihusien,semoga tak selamanya gelap 
helmyhaqim,love the spirit and you both look super gorgeous 
yuribaginda,are them yet peeps are 
drsyarizan,rakyat malaysia akan berada belakang dsai untuk menendang keluar pengkhianat negara telah merosakkan kehidupan rakyat malaysia kita tidak akan biarkan katak2 ini terus bermaharajalela letak jawatan  
xuyintan,would have taken this the street ’ not covid pic courtesy twitter malaysian 
mfahim_ali,kurta hitam ada  
aleeeeen_,hidup yang sekarang pun lahhaiii lecehnyahhh 
nilambarithegod, people shouldn dying the hands incompetent government
aaaaaaaaliaa,kebodohan kerajaan demi negara
firdausazman52,pembangkang bukan rakyat pembangkang bukan memang kerajaan ‍♂️ dlm byk2 kau sorg mcm 
ek4mel,dengar lah suara rakyat ’ 
aimanariffaak,julai 00pm permintaan 
dhnshg,need malaysia free corruption  
___myo,saya myo dan saya menyokong solidariti demi kesejahteraan rakyat dan generasi masa depan 
kyaryhime,was thinking the same  
joezaluchi,slightly late the party 
naiza117,baru kempen dah guna polis dan akta bagai belum apa2 dah  
amilahyazid,semua perempuan ada tudung hitam 
arfncen,satu family lawan aku aku sorang 
ahmaddghani,dan kabinetnya gagal tidak tahu malu letaklah jawatan rakyat akan ingat pengorbanan kamu tapi kami lebih ingat apa yang kamu bikin pada malaysia 
frhwahidah_,jalan terus terus rakyat nak bersuara pun dah tak boleh 
hrhdanishshoffe,for better malaysia  
mohamadkamalali,don’ need take out black flag for cause all outfit are black 
haikkal28, resign
pemudapsm, daripada kami pemuda sosialis 
ntkshh,yang memekak time gang aku lepak time pkpd … support tak kata kesah sangat pasal  loud that
pjoe_,kembali seketika untuk 
hanisshafiqah,kek cawan untuk semua tapi bukan dia 
hakamigourmet,kerana ada rakyat tertindas kerana ada rakyat kelaparan maka kita lawan bersama  
naamurad,‘ were the class you could not teach because knew better ’ 
neddokhan,honoured 
meoryuk, malaysian voices matter 
pppoooojaaaa,wonder what happened 
safaraz62301643,kipidap guys 
dayahbaik21,moga semua politician buat kerja cirit sampai mati 
itsdibsyy,semoga ada manisnya utk rakyat 
senja_fajar_,when injustice becomes the law resistance becomes duty the lost lives the lost life 
bjsrwdpohxut8lc,kali saya kurang setuju bendera hitam untk muhyiddin letak jawatan dia bru sahaja jadi pm8 dia menghadapi musibah sukar untk tangani covid sepatutnya azmin ali dan puaknya cuba jatuhkn dia kita tentaang sampai letak jawatan 
basingse5000, the far the biggest movement since 2015 and 1998 reopen parliament and controlling cocid the main hing need 
naimkudo,frontliners juga manusia 
_amiraaisya,kerajaan dijemput siasat apa punca amarah rakyat jemput siasat diri sendiri dan jatuhkan hukuman setimpal hanya hukuman zalim pada 
datulism,diam bukan kalah kita lawan cara bermaruah bangkit bangsaku tanpa gundah 
huimin714, resign reconvene the parliament end the emergency order 
badboy2662,dah bulan darurat dah sebulan pkp harini sgor kena pkpd tapi kes 6658 fuck this govt ✊ 
aansensio,jadi sedih tengok tak jadi gembira dah penat dalam hati sipa yang tahu diaorang 
nrlnjw98,masih 
sharafiasraf,tabik hormat 
filokafe,are trending here why 
muhamadfikri23,rebels 
alifzamre,bukan saja bendera langit pun dah berubah hitam dek 
shrhanum_,jangan ada yang cirit lagi  
mallyyaa,baju laki aku banyak warna hitam boleh sangkut sepuluh kot 
jungnis_,haku penat dengan menteri and kerajaan bodoh tak perlu nak sayang kerajaan lagi enough said 
ummizulkipli,solidarity with enough enough step down 
parisbmws,sky dark going rain guess the heavens also
hazirahkairol,solidarity with make bcos dia dan israel tiada beza kejam dan zalim 
tarmizianuwar,tidak kira dekat mana bro kita kibarkan bendera hitam tanda semangat 
mimalkushairi,pakai baju berwarna hitam masa pergi ambik vaksin nice idea kita kena tunjuk kita boleh lawan dekat mana mana tempat boleh kita realisasikan benda waknat kasi sebar satu negara 
akmlizzt_,kami lawan  
tehsg,for our next generation this evil corrupted govt heartless pas that done even understand hunger 
noranisonet,’ not supporting the demands out this black flag movement today humbly just hope the current government would tackle covid with fairness and justice tutup kilang selangor dan kuala lumpur and distribute the helps promise accordingly 
ntstrg,raise your black flag  
borneokomrad,lawanlah dan tetap pendirian ✊ mari bersama sama melawan penindasan yang berlaku hari ini rakyat adalah yang paling berkuasa bila bersatu hati  tawau sabah 
