nuru1ain_,@SyedSaddiq Penat dengan Azmin.
ifdec_,"@SyedSaddiq for new malaysia. penat hadap politician yang tak guna. rasuah, yang selfish. kroni. kabel. pemikiran yg lapuk. menyampah dengan seniority. ubah lah. kesian dekat generasi akan datang kalau malaysia masih begini."
enchemz,"@SyedSaddiq Dah penat dan tak sanggup lagi tengok ramai rakyat marhaen hidup menderita disebabkan kerajaan tak competent. Hidup rakyat marhaen ni dah macam collateral damage. Lagi sakit hati tengok politician yang salah guna kuasa, bodoh, makan gaji buta, sibuk kayakan kroni dan 7 keturunan."
fanarzyn,@SyedSaddiq Sebab saya dah nampak masa depan negara ni kalau kerajaan sekarang yang pegang. Sikit² dah nampak perangai sempudal masing. YB nak ke nasib anak-anak muda dan rakyat Malaysia terus susah ? Itu sebab nya. Terima Kasih YB.
thehanishamid,@SyedSaddiq Penat dan at the edge of giving up. Help us.
opiesssss,@SyedSaddiq Benda batil kena lawan. Alquran turun membawa kebenaran. Itulah nabi rasul sampaikan. Itulah sebab kami lawan.  #DonePantun4Kerat #Lawan
fairyfarina,@SyedSaddiq kesian kat frontliners. kesian kat org berniaga. kesian kat orang yg hilang punca pendapatan. takut ekonomi x boleh recover. penat baca rakyat maki kerajaan tapi macam curah air kat daun keladi. langsung xde perubahan tapi makin bebal n menyakitkan hati.
yoyoshar,"@SyedSaddiq Double standard in enforcement, people’s health should be the utmost focus, care in terms of financial, health, education and food for the people in need. We need a gov that works, not just a mere symbol of incompetence."
jaghead13,"@SyedSaddiq Cause the current leadership aren’t by the people, so we can’t expect them to come up with plans which are for the people. #BackdoorGov #KerajaanCirit"
muizofficial,@SyedSaddiq Sbb pembangkang mcm tak nak lawan je
onenonly57,"@SyedSaddiq Penat rakyat ikat perut, ramai hilang kerja, tak dapat berniaga, tak dapat bayar bil dan sewa, tiada makanan atas meja kerana PKP. Doktor dan misi tak lagi mampu berdiri, peluh menitis dari pagi, tiada masa pun utk perut diisi.. tapi kerajaan dan menter masih buta dan tuli!"
muhddan1sh,@SyedSaddiq Kita perlu kan pemimpin generasi yg baru
lamkanahraf,"@SyedSaddiq Penat. The direction we are heading in is very bad for both the Nation and its people. Keadaan sekarang teruk. Rasa macam dah tenat. Kerajaan, ahli politik dan vvip tak kisah pasal rakyat. We need to get ride of this #KerajaanGagal &amp; rethink our approach to govt. Put Rakyat first"
dasuki_yusof,"@SyedSaddiq Sebab keadaan rakyat tersangat TENAT, syed. Yg ada/takda kerja semua TENAT."
finateh,@SyedSaddiq lawan kerana penat tengok rakyat2 hidup terseksa dan tak tentu dengan kerja dan perniagaan tak tetap dan kes2 Covid yang sangat tinggi dan orang2 atasan tak ambil tindakan yang sepatutnya dan tak mendengar luahan rakyat yang dah lama bising kerana sudah tak tahan
ahbeng24265193,@SyedSaddiq Double standard. No clear sop. Brainless people holding menteri post. Cant see any hope and where our Malaysia will be if these people continue ruling our country.
purrfessionals,"@SyedSaddiq Sbb mahu anak cucu kita dapat menikmati kehidupan yg selesa di masa depan. Kalau skrg pun gaji min RM1.2k, hutan pun dah ditarah, apa lagi yg tinggal 20 tahun akan dtg.  Mereka berhak utk rasa gaji tinggi, pergi jungle tracking, dpt kerja tanpa perlu guna cable atau merasuah."
zulismailfvr,@SyedSaddiq Lockdown tp sikda hasil. Kes masih 5k 6k. Hidup terbuang dirumah sahaja. No light at the end of the tunnel!
helxmi,@SyedSaddiq Saya sudah penat. Depa tu bodoh betul atau buat2 bodoh.😭
ainshafff,@SyedSaddiq Sebab saya masih nak hidup.
shaun_syhd,@SyedSaddiq Orang tengah susah tapi semua benda dipolitikkan.
jaylee1432,"@SyedSaddiq We are against corruption, we want a clean administration to run the country with good stability. We will also fight for the youths."
shohlution,"@SyedSaddiq Saya penat jadi staff kontrak KKM. Kalau kami dilayan dengan teruk, rakyat lain macam mana la pulak."
beomisticgyuuu,@SyedSaddiq We’ve had enough.
joshuaj58730867,@SyedSaddiq Because I want equal rights for all races?
mat_https,@SyedSaddiq Penat YB. Makin gelap nampaknya masa depan negara ni. Bila la nak habis semua ni? Kes turun nanti ada PRU pula. Pastu kes naik balik sbb variant Delta. Letih. Ni meniaga pun sbb nak lepas hidup ja. Alang2 tu support lah dgn beli di sini:  https://t.co/uZmJO0STXJ Terima kasih 😔  https://t.co/OYdMyKALdb
hana_hana8362,"@SyedSaddiq Saya penat tunggu vaksin, sedangkan ada orang sebaya saya sudah dapat 2 dose vaksin."
haniff_azizz,@SyedSaddiq Sudah penatt
aeizatism,@SyedSaddiq Sebab mereka terlalu bodoh
hidayah_farina,@SyedSaddiq Stress tengok kes covid tak turun2. Gajii tak sampai 2k tapi kena potong. Gaji menteri puluh2 ribu tapi duduk goyang kaki. Tak adil di situ.
