nuru1ain_,@SyedSaddiq Penat dengan Azmin.
daus_1601,@SyedSaddiq Sebab perangai menteri sekarang macam xde pelajaran. Silap² sijil pun beli. Rakyat dah hari² makin susah. Bantuan pun xdiberi. Dia boleh pulak senang lenang gelak² dgn org² dia
harasadia,@SyedSaddiq Sebab kerajaan pintu belakang wujud dan membebankan rakyat namun memenuhkan poket mereka dan kroni!!!!
msz9784,"@SyedSaddiq Sebab negara sudah tidak ada hala tuju, tujuan utama hanya gila kuasa dan harta. Isu semasa tidak tangani dgn baik. Rakyat menjadi mangsa, abah lg x guna.."
kimnopqrstu,"@SyedSaddiq Saya fresh graduate, bayangkan lah kalau takde pkp pun kemain payah nak dapat kerja, lagi la pkp yang berbulan2 ni. Nak saya bayar pinjaman pelajaran saya pakai apa? BPR?  #Lawan"
maisarahsabur,"@SyedSaddiq the incompetency &amp; double std is too damn much. It’s driving the whole country to the ground. I #lawan for the recovery &amp; stability of the economy, education system, justice system, and most importantly the MALAYSIANS who are suffering! 🏴"
mrsiam21,"@SyedSaddiq Siang malam kerja, saya Frontliner tak ada cuti.. mak ayah kat kmpg dah dua tahun xjumpa ..kerja dan kerja..kes tak turun...maaf saya dah penat nak lawan COVID...saya nak pindah negara ja"
mutalibuthman,@SyedSaddiq Sebab awak ajaklah.
ysheday,"@SyedSaddiq About time. Kita nak kan kerajaan yang mampu menjalankan(bukan lagi mencari) langkah penyelesaian yang berkesan. LoCKDOWN berpuluh FASA sekali pun klu angka masih 5k above, what's the point? Rakyat dh tak larat. Tertekan meneruskan kelangsungan hidup. Tkkn msih BERDIAM DIRI?"
45fortify,@SyedSaddiq Kerajaan yang ada tidak mampu memberikan penyelesaian yang tuntas kepada masalah yang dihadapi rakyat ketika ini dan hanya melakukan perkara yang sama berulang kali tetapi mengharapkan hasil yang berbeza
ekhwanafiq,@SyedSaddiq 1) kerajaan carca marba 2) double standard 3) takde sensitif dengan rakyat 4) taktahu mentadbir 5) tak ambil keluhan rakyat 6) bodo sombong  Banyak la. Senang cite kerajaan ni kerajaan yang paling terok dalam sejarah Malaysia.
akeemashrawi_,@SyedSaddiq Tolong jangan hijack lahhhhhhhhhhhh
shameelsalleh,"@SyedSaddiq Sebab kalau lama2 biar bermaharajalela, takut kebodohan berjangkit sampai keturunan seterusnya"
misfitdaily,"@SyedSaddiq •Penyebab kes COVID-19 yang tinggi sejak election di Sabah. •Double standard di antara rakyat vs menteri/vip.•Moratorium ada interest charge. •Ramai mati. • Parlimen ditutup • Kerajaan ini bukan kami yg undi tapi mereka wujud, mereka pemalas. #MuhyiddinLetakJawatan #lawan"
perdanamentari,@SyedSaddiq Kerana ahli politik semua bangsat.
pina_wiggins,"@SyedSaddiq Sebab politician cakap tak serupa bikin, waktu jd menteri peruntukan belia kena kerat bagi pada kelab sendiri sampai pegawai boleh beli kereta VW cash, simpan duit dalam peti besi, lepas hilang jawatan cuci duit dengan taikun buka restoran."
mintyyyminttt,@SyedSaddiq I don't see our government is being fair enough as a democratic country
_faarzzanaa,@SyedSaddiq kerana telah banyak yang mentalnya jiwanya kerjayanya kehidupannya  dicakari onak dan duri sedangkan yang berkuasa masih tenang bagai lepak dan minum kopi.
nabilahdaud,"@SyedSaddiq Because of the double standards, cronyism, oppressions to the lower classes, inefficient decision making, and, tired is all…This isn’t the government we want, and not the governance we need. #lawan"
thatsmyfullname,@SyedSaddiq Antara dua darjat. Kerajaan pintu belakang. Gila kuasa. Rasuah. Menteri-Menteri bodoh. Sistem kuota. Parlimen tutup. Buta sengsara. Budaya kontrak. Bazir duit. Decriminalise suicide. Pembunuhan dalam tahanan. Pass anti-stalking law. Make school safe. Deforestation. #KerajaanGagal
heday79,@SyedSaddiq Nak lawan pun nak buat apa. Semua ni berpunca dari kebodohan PH kena kencing dgn Atok.. Dan kencing rakyat Malaysia.   Apa nak heran.
nadiamusnce,"@SyedSaddiq sbb lockdown not function, wujudnya politic trash"
asyrfamr,"@SyedSaddiq Sick of this stupid government. Fight for our right, our future. We deserve so much more."
fikreels,"@SyedSaddiq PKP Gagal, kerajaan gagal"
amirul510,@SyedSaddiq Dah penat tu jee
ciliasegram,@SyedSaddiq Because they have caused too many Malaysians to lose their lives and suffer. For their greed.
_sfatin,@SyedSaddiq Saya dah setahun lebih odl di rumah yb. Otak dah tak boleh terima lagi untuk terus adapt dengan sistem odl ni. Semangat saya 0
abdmqdm,"@SyedSaddiq 1. Kerajaan skrng bukanlah kerajaan yg rakyat undi. Tapi dorang memerintah mcm negara ni bapak dorang yg punya. 2. Aku dah bosan dngn segelintir menteri yg seronok2 kesana kesini dan akhirnya tiada apa2 tindakan yg dikenakan. Bila rakyat buat, lain pulak ceritanya. 3. Dll haha"
aimnlurvy,"@SyedSaddiq Saya nak sekolah , we got nothing from pdpr except stress , back hurts , sakit mata hadap screen , only school pleaseee"
anxiousquill,@SyedSaddiq Sebab traumatised dengan PKP/PKPD  https://t.co/662EsFHdKr
takcensored,@SyedSaddiq Mentally tired
kreees,"@SyedSaddiq Sick of the clueless bunch who wasted a whole month for nothing, to come to this, for time wasted, lives lost, income vanished … because they can’t problem solve but still hanging on. 😠"
iamerrafms,"@SyedSaddiq Sebab letih dgn menteri2 tak function, pastu mcm otaknye tu jatuh lalu hilang"
alwiaziq,@SyedSaddiq @NabilHussein Kes tak turun . Gaji kerja ciput . Harapkan bisnes jual kambing support perbelanjaan . Kalau cmni gayanya sampai bila nak rasakan semua kita buat ni rasa tertekan ? Sebab tu saya #Lawan
baby4nees,"@SyedSaddiq sbb masa sy d pusat kuarantin , mostly pkrja kilang yg +ve dn kontak rapat , sy juga +ve ft kontak rapat . so saya lawan sbb that person ckp kes d kilang tidak tinggi. bcs +ve my mental health going 📉 than b4 this and official bcome suicidal ❤️"
aimnlurvy,"@SyedSaddiq Btw korang tak rasa cmni ke sebab setiap kali parlimen nak bukak macam disengajakan kes tinggi , i means yes memang dah tinggi yapi kerajaan fake kan lagi menambah ii"
aadiqajmal,"@SyedSaddiq tiada perubahan, makin teruk"
aximbarrigent,"@SyedSaddiq Penat duduk rumah and tiada any improvement dari segi covid cases. Padahal, sepanjang masa pkp ni ‘we’ could be better kot, get a job, work normally, go to a vacation, no stress, no suicide.. fuck this #kejaraanbangsat"
suhaimisahfain,"@SyedSaddiq menteri macam sial , suruh rakyat duduk rumah menteri makan durian"
annieveeee,"@SyedSaddiq My reason, as clear as day :) #Lawan  https://t.co/oQqP2egJOE"
nfairuz_,"@SyedSaddiq sebab tak mahu dipimpin oleh mereka yang terus menindas rakyat. Mereka lupa, rakyat yang berhak memilih."
stroberilovee,"@SyedSaddiq 1) no proper planning 2) no transparency or legit reasoning bila keluarkan statement or rule baru 3) condescending in arguments 4) tak active dalam bertindak 5) budget allocation tak digunakan properly 6) wealthy, vip &amp; kayangan privilege of doing everything even breaking the law"
ernestyap9,@SyedSaddiq Sebab ini bukan KERAjaan yg kita pilih!
stsenjaa_,@SyedSaddiq Taktahu
gdeannn,@SyedSaddiq Makin pkp pastu ke total lockdown sampai ke pkpd still macam tu kes? So what's the point of sitting at home since January? Besarkan telo je ke! Dorang seronoklah dapat gaji puluh ribu anak cucu makan tak habis! Kita? Mati kebulur! #lawan kerajaan bangsat ni
fxxxxxxixxxtx,"@SyedSaddiq Saya dah penat dengan degree online. Next sem sepatutnya saya dan kawan2 ada latihan industri but bila pkp &amp; pkpd, banyak company freeze kan kemasukkan, apatah lagi amik intern.  😭"
anxmmxr,"@SyedSaddiq Aku dah penat dengan perangai barua barua kabinet la ni. Syok ka bagi anak bini makan duit haram? Bodo dah la merosakkan melayu. Spesis agamawan tu pun sama. Terpaling firaun, semua ja betul"
nsyazwaniamir,"@SyedSaddiq Penat. Rakyat susah, sangat sangat sangat susah. Double standard. Apa jadi dengan VIP yang boleh langgar semua SOP? PKP. Sampai bila? Vaksin? Berapa lama nak tunggu? Bantuan? Takde! Saya dah penat marahkan covid, negara lain boleh menang tapi kita? Sebab tu saya #Lawan 🏴"
acbnrff,@SyedSaddiq Yang buat taik bukan kami. Kami jaga SOP  Dah berbulan beb tak jumpa family.  Aku PJJ dengan bini dah sebulan lebih tak jumpa. 2 minggu lepas dia bg news dia mengandung. Aku happy tapi nk ada dekat dia time penting macam ni tak dapat. Jgn sampai dia deliver nt aku tak dpt jumpa.
azr5119,@SyedSaddiq @SyedSaddiq .. Yb.. kenapa lawan?
maisarahaniff,@SyedSaddiq I want Malaysia to be a better place. A place that I can proudly called home ☹️ I am a Malaysian but i just felt wrong. Everything is unfair.
mujahidcyberpas,@SyedSaddiq Pembangkang takboleh join
_aazlan,@SyedSaddiq Nak elak kes bunuh diri/mati kelaparan sama banyak dgn case covid yg bagai tiada kesudahan.
adrianjohn92,@SyedSaddiq Malaysians have never suffer like they do today. And certain politicians are riding on the issue as though it is nothing. Everything is political to these group. Riding on the waves of the rakyats sufferings.
ayesahkot,@SyedSaddiq Sebab dah penat.
txtmyprinces,@SyedSaddiq Penat dowh nak beli pen pon takleh...nasib mak aku pandai amik je pen tu suruh casher scan cepat2
j_kdancer1805,"@SyedSaddiq 1) I'm over stressed and damn depressed  2) My studies. Kat rumah I nie takde Wi-Fi.. Line teruk sngat...Nak study online susah plus tak leh focus.. Lagi² I need to share my phone with my sis.. dah daftar tab b40 tak dpt,phone b40 tak dpt,laptop b40 pun tak dpt.susah nak study"
asmaajasmine,"@SyedSaddiq Dah penat amat dengan frustration. Remuk hati memikirkn mereka yg kehilangan ahli keluarga. Para frontliners. Doktor2, petugas2 hospital yg diperah tnga tnpa blasan yg setimpal. Rakyat yg mrnderita. Hrga barangan yg makin melampau.   Pembljrn ank2 yg jdi lost genertion."
eddynedim,@SyedSaddiq Penat dengan PKP yang langsung tidak membuahkan hasil. Kes covid tak turun turun. Padahal puncanya menteri menteri yang pentingkan diri sendiri semasa PRN Sabah dulu. Yang merananya rakyat!
unicornpooooop,@SyedSaddiq 1. Double standards SOPs 2. Incompetent menteri’s eg #AirSuam #Tranquilo  3. Menteri’s kids  4. Contract frontliners 5. U-Turns 6. And blaming the rakyat for everything
erictan11851695,"@SyedSaddiq Reasons: Double Standard Rakyat voice ignored Rakyat welfare badly affected Promises by the government not fulfilled No transparency,  Greed and Corrupt."
yusrisuf7,@SyedSaddiq Sbb kami perlukan org yg mcm ni je  https://t.co/tAsvwJ9Pos
kichona70,@SyedSaddiq Because... 1. I want to see treating the menteri-menteri like God dihapuskan!  2. I want to see all titles abolished!  3. I want to see ministers working hard to earn respect from the rakyat  4. I want fairness for all irrespective of race or religion..abolish the quota system!
thrupeep,@SyedSaddiq dah share yb..leh dpt apa
ioimemberdeul,"@SyedSaddiq for me i hve no intention to jatuhkan mana2 parti even kerajaan..but bila dah gagal, kita x boleh terus gagal..dlm kpala aku cuma fikirkan org yg dah x mampu nak survive, frontliners yg dh penat..i dont want any succide anymore..tuh ja"
dasukihawari,@SyedSaddiq SY DA GIVE UP.
itsaleeyanix,@SyedSaddiq Because we want young ones for Parliament!
yapkahyee,"@SyedSaddiq Telah byk bukti terhadap kerajaan sekarang kurang kompeten, tetapi masih dlm kuasa atau sentiasa mencari alasan. Rakyat sudah penat, dah beberapa kali lockdown, mcm2 PKP. Pendapatan tak de, M40 jadi B40. Kita mesti lawan. Kenape? Kerana ini tertakluk dgn masa depan kita. #Lawan"
whutz_,"@SyedSaddiq Benda boleh lawan, kita lawan. Kalau tkleh lawan duduk tepi makan popcorn je lah🥲"
airellrezell,"@SyedSaddiq Exhausted! This whole thing is absurd. Affecting our wellbeing, driving all of us crazy."
theshi,@SyedSaddiq Tired of seeing and feeling the effects of incompetence. For that the buck stops with the PM.
noorazlina_siti,@SyedSaddiq to reset these whole shit system
faraida_,@SyedSaddiq We #lawan because were tired and the situation get worst and they are so arrogant giving stupid n childish statement to defend themself. We will keep kibarkan 🏴🏴#BenderaHitam
lelapujangga,"@SyedSaddiq Kerajaan gagal sebab politisyen degil, kepala batu, tak kompeten, tak cerdik, pekak dan buta."
sy4_fix,"@SyedSaddiq sbb dah fuck up, sorry yb but thats the fact, depa yg besaq2 ni dok pikiaq yg depa ni bagus sgt smpai apa rakyat cakap apa pon tknk dgaq, lagi depa salahkan balik rakyat. kami penat yb tgk kerajaan ni mcm bodo2 kan ja kami hm"
cantikbethul,@SyedSaddiq im an ipt student. no need to explain further. :) nobody cares about us
aizhaqizhaan,@SyedSaddiq Sebab saya tak leh balik terengganu sedangkan datang belajar pon tetap online jugak
adrianchoo1,@SyedSaddiq Rakyat merana. #lawan
aniseuyeyo,"@SyedSaddiq sebab tindakan kerajaan sekarang ni amat memalukan saya sebagai rakyat Malaysia. menteri macam langsung tak connected dgn kesusahan rakyat. setiap kali buka mulut, benda bodoh ja keluar. Gerammmmmm"
yayazu1kifli,@SyedSaddiq Tiada sebab untuk tak #lawan
mrnasrun,@SyedSaddiq Munafiq wajib di #lawan
ismy_asmore,@SyedSaddiq Mentally and emotionally exhausted
firdamiey,@SyedSaddiq Sebab kerajaan ni paling pukimak yg malaysia pernah dpt !!!!
zuaimn,@SyedSaddiq Need you ask? Isn’t it obvious? The question should be ‘mengapa kamu TIDAK #lawan.
alad01_tabaroni,"@SyedSaddiq Just can't let Idiots and Ignorants at the top , that's will fuck up whole civilization. Look at the history!!!!"
oteyolei,"@SyedSaddiq Kita wajar #Lawan sbb Msia🇲🇾 ada 32,776,194 org penduduk. Maknanya ada 32.7 juta lebih otak yg mampu membawa pelbagai penyelesaian jika sel2 otak berhubung dgn baik. Jd kenapa harus puluhan juta otak yg ada skrg dikuasai oleh bbrp otak shj? Renew!"
mrsolero_solero,@SyedSaddiq Sbb law double standard. Undang2 hanya utk rakyat bukan ahli pokitik dan org kayangan.
redzaarbee,"@SyedSaddiq There is now a real risk that the country may collapse. More and more countries will suffer similar fates this decade. We need strong, empathetic, and visionary leadership to move us forward in this new landscape."
sangkunyau,@SyedSaddiq 3 words!!! Saya dah PENAT. 😓 #Lawan
anislayka,@SyedSaddiq Saya bukan apa.. tak nak kutuk pun pemimpin kita.. tapi semoga Allah buka mata dekat pemimpin kita supaya bijak menggunakan cara untuk menyelesaikan kes ini.. kesian dekat rakyat yang kena buang kerja tiada pendapatan.. Kesian sangat 🥺
encikmaskrider,@SyedSaddiq Sebab masa bentang bajet kau tak berdiri.
backupkenalock,"@SyedSaddiq Apa punya kabinet la gaji mahal, timbalan ramai tapi keje tak buat. Cukup term dapat pencen   Bagi phone cap ayam meletup. Antivax tak tangkap, buat satira laju je serbu  Doktor contract nak permanent position pun takde. Dah darurat tak tutup kilang. Suruh bersidang cirit pulak."
fxxxx0000,"@SyedSaddiq Penat. Kita dah covid since last year dari bulan 3 tau. Takkan tak boleh nak ambil iktibar mana yang okay, mana yang tak okay. Kenapa nak buat kesilapan yang sama? Kenapa takde penambahbaikan dari kesilapan yang pernah buat."
diuos1,@SyedSaddiq makan  durian x ajak x mengaku
user37773,@SyedSaddiq Sebab sesetengah tak function?
leonwales,"@SyedSaddiq 1. Incompetent - Tired with this administration’s lack of administration in so many areas.  2. Lack of empathy - They don’t understand us.   3. Above the law - Just serving themselves, their cronies and gang kayangan who consistently flout the laws without any punishment.  #Lawan"
jelaimanoo,"@SyedSaddiq We want justice for Malaysia we  wantthe Government System to reform by itS people!!!everyone is dying,helpless and dissapointed by the iressponsible polictians which keep dragging Malaysian to this horrible situation!!toom much pain to bear"
azwannordin,"@SyedSaddiq Zero accountability. If you cannot do work, leave. We need dynamic leaders and caring government."
amrylrzly,@SyedSaddiq Rakyat dipijak mcm xde maruah!
_anastacha_,@SyedSaddiq Kerana kami letih YB. Kerana kami lelah dengan kerajaan
khairul_hazriq,@SyedSaddiq Lawan sapa
zeatykhalif,@SyedSaddiq Because this is enough. Dah muak dengan apa yang jadi sekarang. Why they repeat the same thing and make it our condition lebih worst. We do have a lot of pemimpin but tak tau pergi mana semua tu. Soon something big happened. Lets #lawan 🙏
xanzlil,"@SyedSaddiq ppl can't do their regular shit, everything was wrong, double standard at its best!,"
khairul_hazriq,@SyedSaddiq Help me to get 5k follower ☺️ Tengs ☺️
rafinramli,"@SyedSaddiq The situation is so frustrating. People struggles are real. After more than a year we expect the people in power would have learnt and are better prepared to face the pandemic, but sadly not this government. Enough is enough"
arifhaynes,@SyedSaddiq  https://t.co/jtfClcFZ5y
u2pleasure_,"@SyedSaddiq saya ada platform, sape nak guna boleh guna. it's a safe space. 🏴🏳️   https://t.co/PTxRMBwi4B"
punithanpr_,@SyedSaddiq Something fishy is going on. They might playing with number of daily cases.
mulut_cabai,@SyedSaddiq #Lawan kerana ini  https://t.co/J1lyS7Q2Q9
kamillfazil,@SyedSaddiq sebab YB idola saya
hafeeszamran,@SyedSaddiq Incompetency to the max limit. Decide semua benda ikut sedap tekak sendiri. Kezaliman yang lebih teruk dan melampau2 compare dgn kerajaan dulu2. This is TOO MUCH.
4l6ert1,@SyedSaddiq we're tired
choi2l,@SyedSaddiq It started PRN sabah. N now we still did not win. Actually da lwn banyk kali
un_zmi,@SyedSaddiq bcs I refuse to be led by a bunch of clown
tmctjt76,@SyedSaddiq @Vvanyol Penat tengok menteri *****. Memang jawatan semua dapat dari cable la agaknya.
aintoretto,@SyedSaddiq Dah penat. Dah give up dgn negara sendiri.
thatsdylan1,"@SyedSaddiq Penat xda keja, duit kat bank pun kering."
zalrumaizei,@SyedSaddiq Mengapa tidak?
jaclynqjy,@SyedSaddiq 1. Double standards blatantly shown between orang kayangan &amp; rakyat biasa. 2. Government clearly doesn't care about the peoples' suffering. 3. Intimidation towards the people.
aliffrohaimii,@SyedSaddiq Nak suruh org tak reti buat letak jawatan
cikwankembang,@SyedSaddiq @Mardianaa___ Penat.
azriyrazaleex,@SyedSaddiq @IzGastro Kerajaan yg menerapkan double standard &amp; Incompetence untuk masa yg terlalu panjang dan masih lagi memberi hasil kerja yang berat sebelah dan tidak relevant.
de_xone,@SyedSaddiq Manusia hanya akan bertindak agresif bilamana mereka terancam. Jadi tak perlu rasanya nak nyatakan sebab kerana terlalu banyak.   Soalnya bukan kenapa tetapi sampai bila ? Can you people for once in your life do the right thing for your people and country? Tak penat ke ?
symbahazel72,"@SyedSaddiq Jika SS jd penimpin utama negara suatu hari nnt, ingatlah semua ni. Jgn ulang."
midi50222110,"@SyedSaddiq Saya perlukan kerajaan yang bebas rasuah dan mengikut lunas yang betul, dan juga pemimpin pemimpin yang interlek dan bertenaga"
ihisyam,@SyedSaddiq #KerajaanGagal #KerajaanBangsat
hkityen,@SyedSaddiq Letih dan lagi letih kerana sangkut
naluri_twt,@SyedSaddiq Terlalu banyak sampai tak sempat nak taip semua 🥲
nadkamarul_,"@SyedSaddiq mentally , physically , financially total breakdown😭😭😭😭😭😭😭"
wafiq_37,@SyedSaddiq Pkp sampai kiamat
ainacovey,"@SyedSaddiq Sampai bila nak odl? Tbh, i learn nothing this semester. I attended class with no motivation. Im tired."
may_sieh,"@SyedSaddiq 1)Double standard 2)Political crisis  3) Second year of covid (dah mcm smbg degree), tp semua masih cacamerba..."
frhanrizh,@SyedSaddiq double standard terhadap golongan kayangan. Ada nama boleh langgar sop sesuka hati. Kerajaan tak cakna dgn situasi yang berlaku sekarang. Keadaan makin susah tp pergi tambah dgn bermacam lockdown tambah skrg ni pkpd di selangor. Kilang tak reti nak tutup.
hantulatte,@SyedSaddiq Seperti apa yang di sebut oleh orang lain di ruangan komen ini.
tiredofallcrap,"@SyedSaddiq Lotsa reasons y we #Lawan,nt enuf room to list all here.But I want a better Msia for future generations &amp; I wanted it to start then;on 9 May 2018!!!Screw all those spoilt it wit their greed,stupidity,selfishness!!!"
puffylemon_,@SyedSaddiq PENATTTTTT!!!!!NAK LEPAK
azfaren,"@SyedSaddiq Want to end this inept, corrupt and hypocritical PN government."
adamiqram_,"@SyedSaddiq Saya penat, everyone does, sebulan dah tak bergaji but duit rumah kena bayar, utilities, duit makan, yes ada duit simpanan tapi sampai bila? Duit tu tak beranak sendiri tau dalam bank 🍂 pakai mask dah pakai, sanitised, mandi, benda ni perlu usaha dari semua tau, bukan setengah."
ejadjaszle,@SyedSaddiq Mostly because of frustration towards current extremely poor governance
meranlee,@SyedSaddiq Penat !
farissyakirin,"@SyedSaddiq Sebab PEMIMPIN sendiri tak mempraktikkan dan tak hormat pada RUKUN NEGARA, sejurus itu rakyat yang terseksa.  Rakyat yang mengundi, rakyat yang tidak terbela."
stevedick881,@SyedSaddiq 1 sop hipokrit 2 pertikai usaha bendera putih 3 gila kuasa 4 bini menteri 3 kali naik pangkat 5 dah kantoi parti durian masih lagi tipu 6 semua menteri babi makan gaji buta 7 ingat rakyat bodoh ge15 nanti ambik kao babi  #Lawan #KerajaanBodoh #KerajaanGagal #KerajaanZalim
asnornasha8,@SyedSaddiq Untuk terus hidup.
shah_iman629,"@SyedSaddiq As of today, there are 5434 documented deaths. 5434 coffins. 5434 lives that are lost due to incompetence. Mothers, father's, children. 5434 reasons to #Lawan"
afiq60173663,@SyedSaddiq Lawan sebab tindakan lambat dan tak cermat(walaupun dia kata kita tak jangka apa yang dia dah buat kat belakang)  Eh boleh pulak negeri lain ditindas sebab nak tunggu satu Malaysia capai nilai ambang  Nilai ambang tu sendiri baru keluar padahal covid dah lama mengganas  dll
leyaarose,@SyedSaddiq Dah penat dh ODL setahun lebih. mental health student pon kena jaga juga
nektime_,@SyedSaddiq Nak Mahiaddin and friends ditimpa bala oleh Maha Adil secepat mungkin
wawhyafham,"@SyedSaddiq Penat dan stress. Tak kerja, tak bergaji, dapat lagi kerajaan bangang."
teecheu,@SyedSaddiq #Lawan sebab…   The ship we are all onboarded is sinking fast. Many on board have been suffering.   This ship has a bright future.   Fight on we must to save the ship and to help the people.
suevmc,@SyedSaddiq semua dah list.. sy stuju semua.. moga pemimpin terbaik akan memulihkan malaysia... kami tggu ni.. 💜
ken48489415,@SyedSaddiq Those in power do not respect us in fact meludah kami memperkecilkan kami dengan melanggar SOP begitu saja lagi boleh buat lawak . Masih Tak Ada vaccine appointment mengapa ? Where is my vaccine?
garis3lintang,@SyedSaddiq Sebab kebodohan manusia2 dlm gambar ini  https://t.co/y2GEPmanFd
rocketmen9,@SyedSaddiq Kerajaan ini telah gagal setelah lebih setahun memerintah dan terlalu banyak layanan double standard antara rakyat dan pemerintah. Shit
iamrnra10,@SyedSaddiq Kerana kerajaan yg ada ini terlalu rosak.
mrylamour,@SyedSaddiq PENAT !
dennisc9090,"@SyedSaddiq @ChaineseTeaBag PUSING PUSING , akhirnya Continue PUSING sampai Still PUSING lagi #KerajaanGagal"
bananazulll,@SyedSaddiq sebab saya nak lockdown habis nak jumpa kawan kawan saya bang saya rindu diorang nak nangis dah ni
aidilkashul,@SyedSaddiq Kalau x.. Menteri Je sedap makan gaji.. Rakyat susah
notyam__,"@SyedSaddiq Sebab penat tengok decision kerajaan yg bodoh. Lockdown tapi itu ini. Kes pun tak turun. I no longer can know the diff between lockdown, pkp, pkpd pkpkpkpkpkp ."
niaga24jam,@SyedSaddiq Sokong permintaan rakyat pasai tu kami #lawan
imranjunaidi,@SyedSaddiq Kebodohan dan kezaliman
bobbyongkh,@SyedSaddiq Sampai sekarang tak settlekan kes jenayah Najib dan Zahid
ezzzaaaaaaaaa,@SyedSaddiq Sebabnya kerajaan bodoh macam setan lagi lagi si azmin
ismet_ulam,@SyedSaddiq Sebab hang tak boleh harap. Pikir kocek hang je..  https://t.co/vOmCVWJ083
msmimiea,@SyedSaddiq Because what's happening now isn't working. It hurts to see how many people are negatively affected by the decision/indecision of the govt. Higher ups seem to think they got the pandemic under control &amp; undereact to everything. Help is slow to come by. This cannot go on.
nurisyam123,@SyedSaddiq Bila bersuara sikitt Mula Main Polis. mcm rakyat tiada kebebasan bersuara. Cam sial je
herydgaf,@SyedSaddiq Kebebasan itu milik rakyat dan manusia yang bertanggungjawab untuk beri kebebasan kepada rakyat ada la para menteri.
farhan_mazrie,"@SyedSaddiq Poverty/justice A faith in Allah that is not aligned with the poor, its nothing."
norainiayob1,@SyedSaddiq  https://t.co/tYiSa8ZMQO
syzdnie,"@SyedSaddiq Kerajaan pekak, buta dan tuli. Tercirit."
johariawang123,@SyedSaddiq Penat nak mati... Bile kes turun.. Laju jer diorang ambik kerdit... Bile kes naik.. Semua salahkan rakyat... Langsung xde rasa tanggungjawab sebagai pemimpin.. Sekrng.. Bile kes org bunuh diri pulak meningkat.. Xde satu pemimpin kita ambik kisah. Bile pru bukan main lagi sembang
thevenusdarling,@SyedSaddiq The job market was always shit for art students. It's literally dead now.  And people are dead and dying so
rusz_jimmy,"@SyedSaddiq Saya bersyukur dengan ujian Covid ni, they show their true color, mana yang wayang, mana yang lagak lebai, mana yang selfish, Sebab kita dah tau bagaimana mereka bekerja, So sudah sampai waktunya kita tukar #Lawan"
husainzikri,@SyedSaddiq -1 tahu setengah ambik masa kawal pandemik semakin tak terkawal -sifat sombong menteri yang tak endahkan ideabaik dari pihak pembangkang -cara menteri menjawab isu crisis sangat biadap -full lockdown yang suam2 kuku -poor mental health meninggkat -ekonomi rakyat malaysia tejejas
aafiqshah,"@SyedSaddiq Sebab atuk hang resign bro, lepastu abah hang pulak khianat bro... sekarang kitorang terpaksa lawan pulak. Macam bodoh kan? Lepastu time ada peluang MP pembangkang tak nak bangun pulak, semua duduk.. lepastu beriya sekarang nak buka parlimen jatuhkan kerajaan.."
iaquien,@SyedSaddiq Makin hari our mental get tired of the same shyt..our mental is not a rock 😢
tengkuazmizam,@SyedSaddiq  https://t.co/jn045szpLp
loggingwood,@SyedSaddiq Sbb atok resign lah jadi camni
a_forana,@SyedSaddiq Kerana saya tak gembira lagi. Saya rindu momen kegembiraan dalam hidup say dan orang sekeliling saya.
tengkuazmizam,@SyedSaddiq Aku melawan PN dan kerajaan negeri selangor YANG GAGAL SEPENUHNYA!!!   KES MAKIN TINGGI  https://t.co/aGfazc8lla
jrachbarker,"@SyedSaddiq Sebab otak dh penat, financial issue, hutang bertambah, income takde dek pkpkpkpkpkpkpkp xhabis2, isteri anak tak makan, resah sampai rasa nak habiskan riwayat, kalau kerja bertambah tekanan dek kerja bnyk, pekerja xramai bla bla bla bla..  Klo xcukup saya blh kongsi gambar."
helios2760,@SyedSaddiq Because the backdoor government does not care about us. They are willing to sacrifice the rakyat's lives as long as it keeps them in power. I want to save Malaysia from #KerajaanGagal.
ffardinaa,@SyedSaddiq cry reading all the comments.
47jtm,@SyedSaddiq Banyak Sgt org tua..
wan_kori,@SyedSaddiq No hope for this country if we keep the same people in their position. We gave up with this ignorant goverment. This is the reason why #Lawan.
suhaimi_amy7,@SyedSaddiq @syahredzan Adakah kamu Lawan atau tidak YB?
faranuur,@SyedSaddiq stupid Political mindset..
suhaimiwembley,"@SyedSaddiq Lawan semua ahli politik yg tamak kuasa, tindas rakyat, double standard. Tak kira parti kerajaan atau pembangkang."
sulaima37295858,"@SyedSaddiq Tiada kepimpinan dari Kerajaan, SOP yang tak masuk akal, Puak Menteri yg selalu ingkar SOP tapi tiada tindakan, Vaksin tidak kesampaian, Katil Hospital penuh sampai Rakyat di rawat di kaki lima, Menteri yg hanya akan tolong jika pengundi di kawasan dia dan byk lagi !😡🤦🏽 #Lawan"
mrrfoxtrot,@SyedSaddiq @syahredzan Sebab kita pause
itsmeredzuan,"@SyedSaddiq @syahredzan Jawapan paling simple..  Sbb ahli politik mcm kau.Dan selagi kau tolak DSAI,sampai bila² aku lawan kau."
nurjones,"@SyedSaddiq Kerajaan yg tak tahu manage crisis, Failed ‼️"
